,idVotant,Contre,Pour
149,PA712015,31.554524361948953,68.44547563805105
150,PA713448,42.13483146067416,57.865168539325836
151,PA717151,40.27149321266968,59.72850678733032
152,PA717167,51.26903553299492,48.223350253807105
153,PA717379,69.12621359223301,30.87378640776699
154,PA718674,61.94503171247357,38.05496828752643
155,PA718682,52.83018867924528,47.16981132075472
156,PA718694,70.84708470847085,29.15291529152915
157,PA718710,69.9687174139729,30.031282586027114
158,PA718720,26.97290930506478,73.02709069493521
159,PA718728,50.58479532163743,49.41520467836257
160,PA718736,68.30188679245282,31.69811320754717
161,PA718744,54.221635883905016,45.77836411609499
162,PA718756,64.99215070643642,35.00784929356358
163,PA718768,65.19823788546255,34.801762114537446
164,PA718780,32.36607142857143,67.63392857142857
165,PA718784,34.623217922606926,65.37678207739307
166,PA718794,67.50418760469012,32.49581239530988
167,PA718802,63.33333333333333,36.666666666666664
168,PA718810,65.00566251415628,34.994337485843715
169,PA718838,31.54034229828851,68.45965770171149
170,PA718850,31.879194630872483,68.12080536912751
171,PA718860,36.05577689243028,63.94422310756972
172,PA718868,36.02620087336245,63.97379912663755
173,PA718876,55.55555555555556,44.44444444444444
174,PA718884,35.73141486810552,64.26858513189448
175,PA718894,72.68445839874411,27.315541601255887
176,PA718902,68.87905604719764,31.12094395280236
177,PA718910,57.97752808988764,42.02247191011236
178,PA718918,69.63636363636364,30.363636363636363
179,PA718926,29.078694817658352,70.92130518234165
180,PA718930,58.350951374207185,41.64904862579281
181,PA718944,57.906976744186046,42.093023255813954
182,PA718954,60.3411513859275,39.6588486140725
183,PA718962,66.91266912669127,33.08733087330874
184,PA718978,58.43270868824531,41.56729131175469
185,PA718990,54.36241610738255,45.63758389261745
186,PA719002,19.047619047619047,80.95238095238095
187,PA719006,58.34932821497121,41.65067178502879
188,PA719020,36.36363636363637,63.63636363636363
189,PA719024,69.31268151016457,30.68731848983543
190,PA719032,67.96440489432703,32.03559510567297
191,PA719044,58.25602968460112,41.74397031539889
192,PA719052,52.89855072463768,47.10144927536232
193,PA719060,58.35240274599543,41.64759725400457
194,PA719072,65.4320987654321,34.5679012345679
195,PA719080,71.91943127962085,28.080568720379144
196,PA719092,55.507559395248386,44.49244060475162
197,PA719100,61.34663341645885,38.65336658354115
198,PA719108,66.78832116788321,33.21167883211679
199,PA719118,50.84269662921348,49.157303370786515
200,PA719130,61.442006269592476,38.557993730407524
201,PA719138,22.19959266802444,77.80040733197556
202,PA719146,21.406727828746178,78.59327217125383
203,PA719154,69.23913043478261,30.76086956521739
204,PA719162,66.62777129521587,33.37222870478413
205,PA719170,67.0,33.0
206,PA719186,72.2560975609756,27.743902439024392
207,PA719194,62.44541484716157,37.55458515283843
208,PA719202,63.44827586206897,36.55172413793103
209,PA719210,37.68115942028986,62.31884057971014
210,PA719218,53.0791788856305,46.9208211143695
211,PA719230,69.94485294117648,30.05514705882353
212,PA719242,67.37481031866464,32.62518968133536
213,PA719250,62.33766233766234,37.66233766233766
214,PA719258,63.83561643835617,36.16438356164384
215,PA719266,59.57943925233645,40.42056074766355
216,PA719272,41.02564102564102,58.97435897435898
217,PA719286,29.296875,70.703125
218,PA719294,67.38095238095238,32.61904761904762
219,PA719302,60.773480662983424,39.226519337016576
220,PA719310,68.99736147757255,31.00263852242744
221,PA719318,35.006435006435005,64.99356499356499
222,PA719326,70.16908212560386,29.830917874396135
223,PA719330,65.71969696969697,34.28030303030303
224,PA719338,73.81818181818181,26.181818181818183
225,PA719350,63.94557823129252,36.054421768707485
226,PA719364,59.69827586206896,40.30172413793103
227,PA719372,65.83679114799446,34.16320885200553
228,PA719388,64.62264150943396,35.37735849056604
229,PA719396,38.91402714932127,61.085972850678736
230,PA719404,60.10928961748634,39.89071038251366
231,PA719412,55.78703703703704,44.21296296296296
232,PA719420,63.46604215456675,36.53395784543326
233,PA719436,26.811594202898554,73.18840579710145
234,PA719440,66.40316205533597,33.59683794466403
235,PA719448,61.085972850678736,38.91402714932127
236,PA719456,62.1580547112462,37.8419452887538
237,PA719464,49.122807017543856,50.877192982456144
238,PA719472,71.8074656188605,28.192534381139488
239,PA719480,44.60093896713615,55.39906103286385
240,PA719488,60.887949260042284,39.112050739957716
241,PA719496,64.54248366013073,35.45751633986928
242,PA719504,34.66135458167331,65.33864541832669
243,PA719512,71.56488549618321,28.435114503816795
244,PA719520,69.04347826086956,30.956521739130434
