,idVotant,Genre,Nom,Prénom,date_naissance,wikilink,age
164,PA719060,M.,Jerretie,Christophe,,Christophe_Jerretie,41
165,PA719092,Mme,Tuffnell,Frédérique,,Frédérique_Tuffnell,64
166,PA719162,Mme,Dubois,Jacqueline,,Jacqueline_Dubois,63
167,PA719250,M.,Chassaing,Philippe,,Philippe_Chassaing,48
168,PA719338,Mme,Melchior,Graziella,,Graziella_Melchior,
169,PA719412,Mme,Le Feur,Sandrine,,Sandrine_Le Feur,29
170,PA719980,M.,Borowczyk,Julien,,Julien_Borowczyk,41
171,PA720054,M.,Haury,Yannick,,Yannick_Haury,66
172,PA720214,Mme,Kuric,Aina,,Aina_Kuric,33
173,PA720318,Mme,Zannier,Hélène,,Hélène_Zannier,48
174,PA720378,M.,Lioger,Richard,,Richard_Lioger,
175,PA720394,Mme,Trisse,Nicole,,Nicole_Gries-Trisse,57
176,PA720560,Mme,Goulet,Perrine,,Perrine_Goulet,42
177,PA720576,M.,Bois,Pascal,,Pascal_Bois,61
178,PA720590,M.,Potterie,Benoit,,Benoît_Potterie,53
179,PA720780,M.,Sempastous,Jean-Bernard,,Jean-Bernard_Sempastous,56
180,PA720870,M.,Mbaye,Jean François,,Jean François_Mbaye,42
181,PA721218,Mme,Charrière,Sylvie,,Sylvie_Charrière,59
182,PA721466,M.,Le Gendre,Gilles,,Gilles_Le Gendre,62
183,PA721498,M.,Guerini,Stanislas,,Stanislas_Guerini,38
184,PA721514,Mme,Kerbarh,Stéphanie,,Stéphanie_Kerbarh,45
185,PA721568,M.,Person,Pierre,,Pierre_Person,32
186,PA721616,M.,Rupin,Pacôme,,Pacôme_Rupin,36
187,PA721644,M.,Kokouendo,Rodrigue,,Rodrigue_Kokouendo,46
188,PA721726,Mme,Mauborgne,Sereine,,Sereine_Mauborgne,48
189,PA721784,Mme,Gomez-Bassac,Valérie,,Valérie_Gomez-Bassac,51
190,PA721946,M.,Marilossian,Jacques,,Jacques_Marilossian,62
191,PA722008,Mme,Leguille-Balloy,Martine,,Martine_Leguille-Balloy,63
192,PA722244,Mme,Magne,Marie-Ange,,Marie-Ange_Magne,33
193,PA724827,Mme,Ali,Ramlati,,Ramlati_Ali,59
194,PA332523,Mme,Dalloz,Marie-Christine,1958-01-10,Marie-Christine_Dalloz,63
195,PA721410,Mme,Bonnivard,Émilie,,Émilie_Bonnivard,40
196,PA608416,M.,Hetzel,Patrick,1964-07-02,Patrick_Hetzel,56
197,PA721286,M.,Ramadier,Alain,,Alain_Ramadier,62
198,PA721734,M.,Michel-Kleisbauer,Philippe,,Philippe_Michel-Kleisbauer,51
199,PA719640,Mme,Mette,Sophie,,Sophie_Mette,61
200,PA720720,Mme,Poueyto,Josy,,Josy_Poueyto,67
201,PA721234,Mme,Petit,Maud,,Maud_Petit,49
202,PA721836,M.,Barrot,Jean-Noël,,Jean-Noël_Barrot,37
203,PA721976,M.,Millienne,Bruno,,Bruno_Millienne,61
204,PA333421,M.,Pancher,Bertrand,1958-06-05,Bertrand_Pancher,62
205,PA721062,M.,Ratenon,Jean-Hugues,,Jean-Hugues_Ratenon,53
206,PA722142,M.,Ruffin,François,,François_Ruffin,45
207,PA720692,M.,Roussel,Fabien,,Fabien_Roussel,51
208,PA721296,M.,Gouffier-Cha,Guillaume,,Guillaume_Gouffier-Cha,35
209,PA718810,Mme,Robert,Mireille,,Mireille_Robert,58
210,PA677483,M.,Mazars,Stéphane,1969-03-25,Stéphane_Mazars,51
211,PA719202,M.,Paris,Didier,,Didier_Paris,67
212,PA719294,Mme,Clapot,Mireille,,Mireille_Clapot,57
213,PA719866,Mme,Abadie,Caroline,,Caroline_Abadie,44
214,PA720124,Mme,Amadou,Aude,,Aude_Amadou,40
215,PA720454,M.,Houbron,Dimitri,,Dimitri_Houbron,30
216,PA720806,Mme,Gayte,Laurence,,Laurence_Gayte,55
217,PA721024,Mme,Genetet,Anne,,Anne_Genetet,57
