,idVotant,Contre,Pour,indice_accord,taux_abstention,Région_x,age,Genre,CSP,Groupe politique (complet)
135628,PA721916,70.69,29.31,765.1,72.27047146401986,Ile-de-France,59,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
136075,PA721924,61.55,38.45,681.82,67.24565756823822,Ile-de-France,56,Mme,Cadres d'entreprise,Mouvement Démocrate (MoDem) et Démocrates apparentés
136603,PA721932,39.49,60.51,350.32,90.2605459057072,Provence-Alpes-Côte d'Azur,56,Mme,Professions intermÃ©diaires administratives et commerciales des entreprises,Non inscrit
136760,PA721946,68.48,31.52,730.66,78.3498759305211,Ile-de-France,62,M.,Cadres d'entreprise,La République en Marche
137109,PA721960,31.91,68.09,289.88,68.11414392059554,Ile-de-France,40,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La France insoumise
137623,PA721968,35.96,64.04,324.56,92.92803970223325,Ile-de-France,61,M.,Cadres d'entreprise,Les Républicains
137737,PA721976,63.24,36.76,700.21,69.78908188585609,Ile-de-France,61,M.,Cadres d'entreprise,Mouvement Démocrate (MoDem) et Démocrates apparentés
138224,PA721984,53.4,46.6,684.47,87.22084367245657,Pays de la Loire,45,M.,Cadres d'entreprise,Mouvement Démocrate (MoDem) et Démocrates apparentés
138430,PA721996,68.35,31.65,645.57,95.09925558312655,Pays de la Loire,,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Mouvement Démocrate (MoDem) et Démocrates apparentés
138509,PA722000,65.96,34.04,774.47,70.84367245657567,Pays de la Loire,46,M.,Cadres d'entreprise,La République en Marche
138979,PA722008,65.74,34.26,747.4,82.07196029776675,Pays de la Loire,63,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
139268,PA722022,60.37,39.63,701.22,79.65260545905707,Ile-de-France,40,Mme,Cadres d'entreprise,La République en Marche
139596,PA722030,29.63,70.37,458.33,86.60049627791564,Ile-de-France,43,M.,CommerÃ§ants et assimilÃ©s,Agir ensemble
139812,PA722038,66.31,33.69,716.85,82.6923076923077,Normandie,31,M.,Cadres d'entreprise,La République en Marche
140091,PA722046,63.76,36.24,711.64,76.55086848635236,Ile-de-France,34,Mme,Cadres d'entreprise,La République en Marche
140469,PA722062,65.47,34.53,714.71,79.3424317617866,Ile-de-France,58,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
140802,PA722070,64.24,35.76,753.16,80.39702233250621,Pays de la Loire,29,M.,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",La République en Marche
141118,PA722082,85.0,15.0,750.0,98.75930521091811,Nouvelle-Aquitaine,,Mme,Artisans,La République en Marche
141138,PA722090,59.52,40.48,547.62,92.18362282878412,Ile-de-France,49,Mme,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",La République en Marche
141264,PA722094,70.73,29.27,729.49,72.02233250620347,Ile-de-France,65,Mme,Cadres d'entreprise,La République en Marche
141715,PA722102,65.1,34.9,759.53,78.84615384615384,Normandie,64,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
142056,PA722110,30.66,69.34,261.32,82.19602977667493,Normandie,64,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Gauche démocrate et républicaine
142343,PA722118,55.28,44.72,670.81,90.01240694789082,Normandie,40,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
142504,PA722126,58.33,41.67,680.56,86.60049627791564,Nouvelle-Aquitaine,34,M.,Cadres d'entreprise,Non inscrit
142720,PA722134,65.37,34.63,734.33,79.21836228287842,Nouvelle-Aquitaine,56,M.,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",La République en Marche
143055,PA722142,33.87,66.13,294.35,84.61538461538461,Hauts-de-France,45,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",La France insoumise
143303,PA722150,60.19,29.62,684.83,73.8213399503722,Nouvelle-Aquitaine,32,M.,Professions libÃ©rales et assimilÃ©s,La République en Marche
143725,PA722162,66.24,33.76,710.19,80.5210918114144,Nouvelle-Aquitaine,48,M.,Agriculteurs exploitants,Mouvement Démocrate (MoDem) et Démocrates apparentés
144039,PA722170,74.72,25.28,756.55,66.87344913151365,Nouvelle-Aquitaine,48,Mme,Inactifs divers (autres que retraitÃ©s),La République en Marche
144573,PA722178,59.66,40.34,676.14,89.0818858560794,Ile-de-France,58,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
144749,PA722194,56.21,43.79,562.09,90.50868486352357,Ile-de-France,55,Mme,Cadres d'entreprise,La République en Marche
144902,PA722202,23.79,76.21,240.41,75.74441687344913,Normandie,49,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Gauche démocrate et républicaine
145293,PA722218,65.62,34.38,593.75,98.01488833746899,Hauts-de-France,56,Mme,Cadres d'entreprise,La République en Marche
145325,PA722228,68.11,31.89,751.03,69.85111662531017,Hauts-de-France,66,M.,Anciens agriculteurs exploitants,La République en Marche
145811,PA722240,71.01,28.99,579.71,95.71960297766749,Nouvelle-Aquitaine,46,M.,Cadres d'entreprise,La République en Marche
145880,PA722244,64.1,35.9,747.86,85.48387096774194,Nouvelle-Aquitaine,33,Mme,"Cadres de la fonction publique, professions intellectuelles et artistiques",La République en Marche
146114,PA722252,66.4,33.6,735.18,84.30521091811414,Ile-de-France,44,Mme,Professions libÃ©rales et assimilÃ©s,La République en Marche
146367,PA722260,58.96,41.04,726.42,86.848635235732,Ile-de-France,47,M.,"Cadres de la fonction publique, professions intellectuelles et artistiques",Non inscrit
146579,PA722268,66.74,33.26,753.78,71.27791563275434,Grand Est,56,Mme,Cadres d'entreprise,Libertés et Territoires
147042,PA722280,25.0,75.0,250.0,99.50372208436724,Grand Est,51,M.,"Professions intermÃ©diaires de l'enseignement, de la santÃ©, de la fonction publique et assimilÃ©s",Les Républicains
147050,PA722284,53.42,46.58,630.14,81.88585607940446,Grand Est,61,M.,Chefs d'entreprise de 10 salariÃ©s ou plus,Mouvement Démocrate (MoDem) et Démocrates apparentés
147342,PA722292,67.06,32.94,787.17,78.72208436724566,Auvergne-Rhône-Alpes,50,M.,Sans profession dÃ©clarÃ©e,La République en Marche
